Drug,Amount,Supple,1st day of pay,1st day of fda approval,difference,nda
FANAPT,204184.4,1,4/1/14,1/2/14,-88,NDA
FARXIGA,35427.26,6,1/31/14,8/6/14,188,NDA
FARYDAK,979783.37,10,1/1/14,2/23/15,418,NDA
FEMARA,11072.2,1,3/18/14,10/13/13,-156,NDA
FETZIMA,7500,1,11/7/14,6/25/14,-135,NDA
Finacea,28715.85,8,1/16/14,3/8/15,416,NDA
FIRMAGON,34137,1,10/3/14,11/13/14,42,NDA
FORTEO,1429,2,4/1/14,2/25/14,-35,NDA
Fycompa,39797.1,8,1/23/14,6/29/14,157,NDA
Gadavist,6520,2,3/7/14,7/15/14,131,NDA
GEODON,3455.75,3,12/10/14,6/1/14,-191,NDA
GILENYA,2898261.47,112,1/1/14,11/17/14,321,NDA
GLEEVEC,2045076.16,6,1/2/14,6/7/14,156,NDA
Gralise,11800,1,11/1/14,7/27/13,-462,NDA
Halaven,441355.89,94,1/21/14,7/19/14,179,NDA
Harvoni,773835,107,1/9/14,12/29/14,355,NDA
HUMALOG,6447.9,2,2/4/14,5/25/14,111,NDA
HUMATROPE,18607,7,1/21/14,5/9/14,109,NDA
Iclusig,14246,14,1/15/14,8/6/14,204,NDA
Imbruvica,759549.32,184,1/2/14,12/6/14,338,NDA
IMPLANON,4000,14,1/10/14,7/26/14,197,NDA
INCIVEK,290417.89,22,1/1/14,10/3/13,-90,NDA
Increlex,500,1,2/26/14,6/3/14,97,NDA
Injectafer,54810,23,1/28/14,3/21/14,53,NDA
INLYTA,672022.3,7,2/24/14,6/5/14,102,NDA
INOmax,46110,6,2/17/14,3/27/15,403,NDA
INTUNIV,298083,3,4/4/14,7/30/14,118,NDA
INVANZ,36016,2,2/5/14,4/11/14,65,NDA
ISENTRESS,28318.22,8,5/7/14,4/10/14,-26,NDA
Istodax,559144.76,14,1/3/14,12/23/13,-10,NDA
JAKAFI,2125,2,1/21/14,6/23/14,153,NDA
JANUMET,9770.86,11,1/21/14,9/9/14,231,NDA
JANUVIA,296066.73,47,1/2/14,9/19/14,260,NDA
KALYDECO,1498958.37,37,1/1/14,9/21/14,263,NDA
Kuvan,53600,12,2/10/14,4/27/14,76,NDA
KYNAMRO,351575.23,15,1/6/14,3/20/15,439,NDA
Kyprolis,5802117.9,32,1/9/14,12/18/14,343,NDA
LANTUS,39941,26,1/17/14,4/15/14,88,NDA
Latuda,924005.41,877,1/2/14,1/31/14,29,NDA
Lenvima,317507.53,111,1/21/14,6/15/15,511,NDA
Letairis,148526.86,24,1/28/14,9/12/14,228,NDA
Levemir,654.14,2,12/4/14,7/26/14,-131,NDA
Lexiscan,99098.59,5,1/10/14,3/31/14,81,NDA
LINZESS,91.24,1,11/19/14,5/28/14,-175,NDA
LIPITOR,16427.35,1,1/21/14,10/15/14,267,NDA
LOVAZA,41662.58,2,5/20/14,3/4/14,-77,NDA
MEKINIST,1019869.19,7,2/12/14,3/12/14,29,NDA
Mirena,16298,1,8/22/14,7/18/14,-34,NDA
MULTAQ,20587.5,13,1/30/14,3/11/14,41,NDA
Mycamine,295801.33,6,1/31/14,7/24/14,175,NDA
Myrbetriq,475236.25,25,2/21/14,8/12/14,173,NDA
NAMENDA XR,14763.75,3,2/6/14,6/10/14,124,NDA
NASONEX,30443.59,4,1/27/14,10/5/14,251,NDA
Neupro,45218.77,12,1/3/14,6/4/15,517,NDA
Nexavar,339753.69,26,1/6/14,1/8/14,2,NDA
Norditropin,289100,23,1/23/14,10/6/14,257,NDA
NORTHERA,85621.46,2,12/31/14,12/21/14,-10,NDA
NOXAFIL,62101.69,15,1/6/14,9/13/14,251,NDA
Nuedexta,31320,16,1/23/14,5/3/15,465,NDA
Nuvigil,2000,1,4/28/14,5/19/14,22,NDA
OFIRMEV,52197.5,10,1/9/14,10/18/13,-83,NDA
ONGLYZA,11199.33,5,1/13/14,5/15/14,123,NDA
Optison,378,1,12/16/14,11/15/13,-396,NDA
ORBACTIV,5875,1,7/18/14,1/24/15,190,NDA
ORENITRAM,167432,13,2/17/14,5/14/14,86,NDA
Otezla,241457.64,16,1/2/14,9/7/14,248,NDA
Perforomist,81481.08,22,1/31/14,3/19/14,47,NDA
PICATO,52139,14,3/25/14,1/6/15,287,NDA
Pomalyst,256345.36,14,1/8/14,11/19/14,316,NDA
PREGNYL,2293.8,1,9/12/14,12/24/14,104,NDA
PREMARIN,7555.2,1,5/14/14,1/3/15,234,NDA
PREPOPIK,8225,5,7/9/14,12/31/13,-190,NDA
PRISTIQ,292953.38,473,1/1/14,4/10/14,99,NDA
PROMACTA,3784462.58,88,1/8/14,11/5/14,301,NDA
Provigil,31532.95,5,1/20/14,10/18/14,271,NDA
PULMICORT FLEXHALER,63416,1,1/19/14,7/16/15,543,NDA
Qnasl,83005,44,7/21/14,8/27/14,38,NDA
QSYMIA,1365,1,9/26/14,5/6/14,-142,NDA
Ranexa,184910,55,1/23/14,12/16/13,-38,NDA
RAPAFLO,20929.4,5,4/2/14,8/14/13,-230,NDA
RAPAMUNE,170757.75,17,2/18/14,8/28/14,191,NDA
Ravicti,50618.33,2,6/19/14,1/7/15,203,NDA
RENVELA,25.08,1,2/25/14,11/26/14,274,NDA
REQUIP,2000,1,2/11/14,8/28/14,198,NDA
Revlimid,971749.6,74,1/2/14,7/28/14,207,NDA
REYATAZ,66552.76,6,1/15/14,9/24/14,253,NDA
Rozerem,721924.58,216,1/10/14,6/14/13,-210,NDA
SABRIL,29925,1,6/19/14,4/14/14,-66,NDA
SAMSCA,4825,2,4/14/14,9/29/13,-197,NDA
SAPHRIS,53669.75,22,1/20/14,1/1/15,347,NDA
SAVELLA,174455.75,4,4/23/14,6/3/14,42,NDA
Saxenda,182824.2,59,1/6/14,2/8/15,398,NDA
SELZENTRY,80334.27,26,2/6/14,8/10/14,185,NDA
Sensipar,32431.32,10,6/25/14,11/21/14,149,NDA
SEROQUEL,101838,1,2/27/14,10/29/13,-121,NDA
SIGNIFOR,701336.94,29,1/1/14,3/17/15,440,NDA
Sovaldi,278943.21,65,1/23/14,11/29/14,310,NDA
SPRYCEL,506395.47,9,1/6/14,10/21/14,288,NDA
STENDRA,5900.2,6,1/2/14,9/16/14,258,NDA
Stivarga,771355.67,18,1/9/14,4/24/14,105,NDA
Stribild,117365.65,53,1/16/14,6/16/14,152,NDA
Sucraid,24905,3,7/15/14,10/21/14,98,NDA
SUSTIVA,21500,2,1/15/14,3/27/14,72,NDA
SUTENT,304227.9,28,1/6/14,9/24/14,262,NDA
SYMBICORT,233335.23,28,1/14/14,7/10/14,178,NDA
Synribo,3319,4,2/7/14,2/10/14,3,NDA
TACLONEX,16100,7,2/6/14,6/1/14,116,NDA
TAFINLAR,1185241.08,41,1/8/14,1/6/14,-2,NDA
Tarceva,196660.05,4,1/13/14,8/14/14,214,NDA
TASIGNA,1969064.77,29,1/1/14,2/18/14,49,NDA
TAXOTERE,150512.29,32,1/7/14,1/21/14,15,NDA
TECFIDERA,49266,20,4/1/14,12/26/14,269,NDA
TEKTURNA,38619.47,6,1/2/14,6/6/14,155,NDA
TEMODAR,341500.27,3,1/22/14,10/24/14,275,NDA
Thalomid,316.68,1,1/28/14,1/9/15,347,NDA
TIVICAY,97244.26,46,1/7/14,8/21/14,226,NDA
TOBI PODHALER,74850.1,4,1/1/14,11/25/14,329,NDA
TORISEL,287192,10,1/15/14,7/16/14,182,NDA
TOVIAZ,9131.1,2,5/14/14,8/13/14,91,NDA
Tradjenta,74704.75,38,1/1/14,12/4/14,337,NDA
Treanda,85267,4,9/1/14,8/29/14,-2,NDA
TREXIMET,150.58,2,8/4/14,1/12/15,161,NDA
Tybost,5500,1,3/18/14,1/4/15,292,NDA
TYGACIL,13895,2,8/28/14,9/20/13,-341,NDA
TYKERB,166303.53,5,1/31/14,2/15/14,15,NDA
TYVASO,6097030,598,1/1/14,10/24/14,296,NDA
Uloric,223531.99,180,1/18/14,5/18/14,121,NDA
Valcyte,9948.12,8,3/17/14,5/20/15,429,NDA
VELCADE,2027761.48,29,1/7/14,8/6/14,211,NDA
VERAMYST,395565.55,65,1/14/14,12/3/14,323,NDA
Vesicare,40599.28,11,1/15/14,10/9/13,-98,NDA
VIBRAMYCIN,43283.52,2,3/17/14,5/15/14,60,NDA
Victoza,757023.25,824,1/6/14,10/9/14,276,NDA
VICTRELIS,187726.57,13,1/15/14,1/21/14,7,NDA
Vidaza,41282.6,2,2/1/14,3/4/14,31,NDA
VIIBRYD,996376.23,70,1/6/14,6/13/14,158,NDA
VIMOVO,2290,3,7/18/14,7/11/14,-7,NDA
Vimpat,3036.83,3,7/1/14,5/21/14,-40,NDA
Viread,63586.22,1,6/24/14,4/5/14,-80,NDA
Vivitrol,9760,3,1/10/14,3/9/14,58,NDA
VOTRIENT,403449.63,20,1/20/14,6/23/14,154,NDA
VYTORIN,196225,25,1/6/14,6/14/14,160,NDA
VYVANSE,1160886.86,109,1/7/14,8/7/14,212,NDA
XALKORI,736747.01,29,1/1/14,5/10/14,130,NDA
Xarelto,237342.47,82,1/3/14,9/8/14,249,NDA
XELJANZ,688106.71,525,1/8/14,4/18/14,101,NDA
Xeloda,109314.13,2,3/21/14,10/12/14,205,NDA
XENAZINE,5999,1,12/16/14,11/19/14,-27,NDA
Xofigo,374591.5,19,1/8/14,11/20/14,316,NDA
Xtandi,742858.45,125,1/10/14,3/12/15,427,NDA
Xyrem,3391.19,1,9/16/14,12/13/14,89,NDA
Zelboraf,1227298.21,70,1/6/14,5/13/14,128,NDA
ZENPEP,2607.5,4,1/30/14,4/20/14,80,NDA
ZETIA,53713,2,4/17/14,1/31/14,-76,NDA
ZOLINZA,509242.74,8,2/5/14,10/7/15,609,NDA
ZOLOFT,356775,9,4/22/14,4/30/14,8,NDA
ZOMETA,27483.83,5,1/15/14,8/1/14,198,NDA
ZORTRESS,44634.08,2,4/4/14,8/2/14,121,NDA
Zydelig,1578021.61,175,1/9/14,12/5/14,330,NDA
ZYKADIA,401869.8,27,1/1/14,3/26/15,449,NDA
ZYVOX,4350,1,6/23/14,2/14/14,-129,NDA
